Class Suffix,Label,Severity,Message
DIGITRUBBER_000244,geometry correction [ifnano],Violation,DigitRubber class 'geometry correction [ifnano]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000064,online optimization [ita],Violation,DigitRubber class 'online optimization [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000143,energy consumption [hsh],Violation,DigitRubber class 'energy consumption [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000650,styrene-butadiene rubber SBR [ifnano],Violation,DigitRubber class 'styrene-butadiene rubber SBR [ifnano]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000014,carbon black [Arlanxeo],Violation,DigitRubber class 'carbon black [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000009,green compound [Arlanxeo],Violation,DigitRubber class 'green compound [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000024,moving die rheometer [Arlanxeo],Violation,DigitRubber class 'moving die rheometer [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000057,masse pro messzeit 2 [Arlanxeo],Violation,DigitRubber class 'masse pro messzeit 2 [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000033,trans content [Arlanxeo],Violation,DigitRubber class 'trans content [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000045,D Median [Arlanxeo],Violation,DigitRubber class 'D Median [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000150,throughput [hsh],Violation,DigitRubber class 'throughput [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000031,styrene content [Arlanxeo],Violation,DigitRubber class 'styrene content [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000124,semi-finished product [hsh],Violation,DigitRubber class 'semi-finished product [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000041,elastomer [ita],Violation,DigitRubber class 'elastomer [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000202,concentration [ifnano],Violation,DigitRubber class 'concentration [ifnano]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000080,validation [edam],Violation,DigitRubber class 'validation [edam]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000090,screw torque [ita],Violation,DigitRubber class 'screw torque [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000048,E dash 60 degree celcius [Arlanxeo],Violation,DigitRubber class 'E dash 60 degree celcius [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000269,Mooney viscosity [ifnano],Violation,DigitRubber class 'Mooney viscosity [ifnano]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000321,di(benzothiazol-2-yl)disulfide [chebi],Violation,DigitRubber class 'di(benzothiazol-2-yl)disulfide [chebi]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000023,mechanical testing system [Arlanxeo],Violation,DigitRubber class 'mechanical testing system [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000565,kinematic viscosity [uo],Violation,DigitRubber class 'kinematic viscosity [uo]' is missing a de definition (obo:IAO_0000115).
